Name (CTZ),Age Group,Bib Number,Age,"City, State",05K,10K,15K,20K,HALF,25K,30K,35K,40K,Finish
"Cherono, Lawrence (KEN)",30-34,4,31,Chepkoilel,00:14:45,00:29:28,00:44:11,00:59:01,01:02:15,01:13:57,01:28:59,01:43:54,01:59:10,02:05:45
"Debela, Dejene (ETH)",20-24,38,24,West Chester,00:14:45,00:29:29,00:44:12,00:59:02,01:02:16,01:13:56,01:28:59,01:43:53,01:59:08,02:05:46
"Mengstu, Asefa (ETH)",30-34,5,31,Addis Ababa,00:14:46,00:29:29,00:44:12,00:59:02,01:02:15,01:13:55,01:28:59,01:43:53,01:59:08,02:05:48
"Karoki, Bedan (KEN)",25-29,9,29,Mbuyu,00:14:45,00:29:27,00:44:10,00:59:02,01:02:15,01:13:54,01:28:59,01:43:53,01:59:09,02:05:53
"Abdi, Bashir (BEL)",30-34,10,30,Nijmegen,00:14:47,00:29:30,00:44:23,00:59:32,01:02:54,01:14:53,01:30:22,01:45:15,01:59:53,02:06:14
"Tura, Seifu (ETH)",20-24,39,22,Addis Abeba,00:14:46,00:29:29,00:44:12,00:59:02,01:02:15,01:13:56,01:28:59,01:43:53,02:00:13,02:08:35
"Chumba, Dickson (KEN)",30-34,6,32,Kipngoror,00:14:45,00:29:27,00:44:11,00:59:01,01:02:14,01:13:55,01:28:58,01:44:27,02:01:05,02:09:11
"Farah, Mo (GBR)",35-39,1,36,Teddington,00:14:47,00:29:29,00:44:23,00:59:32,01:02:54,01:14:54,01:30:30,01:46:23,02:02:28,02:09:58
"Riley, Jacob (USA)",30-34,16,30,Boulder,00:15:33,00:30:59,00:46:30,01:01:59,01:05:24,01:17:33,01:33:17,01:48:44,02:04:02,02:10:36
"Mock, Jerrell (USA)",20-24,36,24,Fort Collins,00:15:33,00:30:58,00:46:30,01:01:59,01:05:25,01:17:32,01:33:17,01:48:44,02:04:02,02:10:37
"Stinson, Parker (USA)",25-29,23,27,Boulder,00:15:32,00:30:58,00:46:30,01:01:59,01:05:25,01:17:32,01:33:17,01:48:44,02:04:03,02:10:53
"Bumbalough, Andrew (USA)",30-34,20,32,Concord,00:15:32,00:30:58,00:46:29,01:01:59,01:05:25,01:17:33,01:33:19,01:48:48,02:04:03,02:10:56
"Oishi, Minato (JPN)",30-34,11,31,Hamamatsu,00:15:25,00:30:59,00:46:29,01:01:59,01:05:24,01:17:34,01:33:19,01:48:45,02:04:15,02:11:02
"Mcdonald, Matthew (USA)",25-29,21,26,Atlanta,00:15:34,00:31:00,00:46:31,01:02:01,01:05:25,01:17:33,01:33:18,01:48:45,02:04:09,02:11:10
"Smith, Scott (USA)",20-24,15,23,Flagstaff,00:15:33,00:30:59,00:46:29,01:01:58,01:05:25,01:17:32,01:33:17,01:48:46,02:04:13,02:11:14
"Gregg, Brendan (USA)",30-34,17,30,Davis,00:15:33,00:30:58,00:46:31,01:01:59,01:05:25,01:17:34,01:33:18,01:48:55,02:04:40,02:11:38
"Droddy, Noah (USA)",25-29,25,29,Boulder,00:15:32,00:30:59,00:46:30,01:02:00,01:05:25,01:17:34,01:33:18,01:48:54,02:04:44,02:11:42
"Given, Wilkerson (USA)",25-29,24,28,Atlanta,00:15:33,00:30:59,00:46:31,01:02:01,01:05:26,01:17:34,01:33:19,01:48:55,02:04:40,02:11:44
"Estrada, Diego (USA)",25-29,19,29,Flagstaff,00:15:34,00:31:00,00:46:31,01:02:01,01:05:26,01:17:35,01:33:18,01:48:55,02:04:46,02:11:54
"Hayakawa, Tsubasa (JPN)",25-29,14,29,Tahara,00:15:26,00:30:58,00:46:30,01:01:59,01:05:25,01:17:33,01:33:18,01:48:55,02:04:52,02:12:25
"Takeuchi, Ryoma (JPN)",25-29,12,27,Matsudo Chiba,00:15:33,00:30:59,00:46:30,01:01:59,01:05:25,01:17:34,01:33:19,01:48:57,02:05:19,02:12:26
"Shrader, Brian (USA)",25-29,18,28,Brighton,00:15:34,00:31:08,00:46:49,01:02:28,01:05:54,01:18:19,01:34:05,01:50:04,02:06:16,02:13:27
"Monroe, Alex (USA)",25-29,34,27,Longmont,00:15:34,00:31:00,00:46:30,01:02:00,01:05:26,01:17:35,01:33:19,01:48:58,02:05:57,02:14:15
"Kremske, Daniel (USA)",30-34,31,30,Chicago,00:15:46,00:31:53,00:47:57,01:04:11,01:07:44,01:20:26,01:36:15,01:52:07,02:07:56,02:14:53
